X1	X2	T	Y
0.7739560485559633	0.7207283866671284	T4	1
0.4388784397520523	0.7112377614746703	T3	0
0.8585979199113825	0.2026950310833242	T1	1
0.6973680290593639	0.036655395168237126	T4	1
0.09417734788764953	0.30379952180706926	T4	1
0.9756223516367559	0.1571363048589508	T0	0
0.761139701990353	0.39578847921569404	T0	0
0.7860643052769538	0.9793461191526043	T1	0
0.12811363267554587	0.18107137090522096	T3	0
0.45038593789556713	0.31887394342296893	T2	0
0.37079802423258124	0.7251143163195723	T2	1
0.9267649888486018	0.5091827828619216	T2	1
0.6438651200806645	0.043928143573384926	T2	0
0.82276161327083	0.16169001816132167	T3	1
0.44341419882733113	0.9352495547731959	T0	0
0.2272387217847769	0.10316499273902846	T2	1
0.5545847870158348	0.6350927872097057	T1	1
0.06381725610417532	0.7923256488409115	T3	1
0.8276311719925821	0.2654390627249239	T0	0
0.6316643991220648	0.7250780031386901	T0	0
0.7580877400853738	0.16989517903018025	T2	0
0.35452596812986836	0.28475027483379034	T2	1
0.9706980243949033	0.31182203088420746	T2	0
0.8931211213221977	0.9964349905642236	T4	1
0.7783834970737619	0.2145722952179573	T3	1
0.19463870785196757	0.129207464633585	T1	0
0.4667210037270342	0.9256914374814104	T3	0
0.04380376578722878	0.16193069382035274	T2	1
0.15428949206754783	0.8792799196294053	T1	1
0.6830489532424546	0.65045662764669	T0	0
0.7447621559078171	0.5768614980705188	T0	1
0.96750973243421	0.7513387115465768	T1	1
0.32582535813815194	0.7259989571480501	T4	0
0.3704597060348689	0.11052618941831371	T2	0
0.4695558112758079	0.9994661104066891	T2	1
0.1894713590842857	0.9418897264487286	T1	0
0.12992150533547164	0.8965919628619162	T1	1
0.47570492622593374	0.6222891339424068	T3	0
0.2269093490508841	0.5227913313323141	T0	0
0.6698139946825103	0.5362785838816683	T3	1
0.43715191887233074	0.01493694422823244	T4	1
0.8326781960578374	0.49946950194544293	T4	1
0.7002651020022491	0.6237695676599199	T1	1
0.31236664138204107	0.6587062087749485	T4	1
0.8322598013952011	0.332139465051313	T1	0
0.8047643574968019	0.4712823502935495	T1	1
0.38747837903017446	0.6363106066625744	T1	1
0.2883281039302441	0.4283055102751817	T0	0
0.6824955039749755	0.9621351989835252	T1	0
0.1397524836093098	0.7054421098520003	T4	0
0.19990820247510832	0.001273746250890495	T3	1
0.007362269751005512	0.023279481482253006	T1	1
0.7869243775021384	0.6903002034683744	T1	0
0.6648508565920321	0.4126450975455027	T1	0
0.7051653786263351	0.8394709492122663	T0	0
0.7807290310219679	0.17301540948626204	T0	1
0.45891577553833995	0.013826914052291861	T4	1
0.5687411959528937	0.3880823501137123	T3	0
0.13979699812765745	0.736064104307449	T3	1
0.11453007353597344	0.9717277333775686	T1	1
0.6684029617904717	0.8836538793510554	T4	0
0.4710962061431325	0.48407461193713885	T0	1
0.5652361064811888	0.8128172831963666	T4	1
0.7649988574160256	0.07033045786761405	T2	1
0.6347183200005908	0.5722723475848833	T1	1
0.5535794006579958	0.9242984130144701	T3	1
0.5592071607454135	0.39638514749073994	T2	1
0.3039500980626122	0.9601006296631156	T1	1
0.030817834567939406	0.2206850967291053	T3	0
0.43671738923236236	0.10563380953339352	T3	1
0.2145846728195292	0.5247623360817011	T3	1
0.40852864372463615	0.9072468719812243	T2	1
0.8534030732681661	0.3112792187447442	T1	0
0.23393948586534075	0.8001603193989524	T2	1
0.05830274168906602	0.16919726588028094	T4	1
0.28138389202199654	0.7455703960009396	T1	0
0.2935937577666836	0.557026941387431	T4	1
0.6619165147268951	0.17501697539437222	T0	0
0.5570321523412783	0.7180872494376086	T0	1
0.7838982091064135	0.7137561134564273	T1	0
0.6643135403273875	0.5154352291434403	T0	0
0.4063868614400705	0.22546763764267463	T4	1
0.8140203846660347	0.13229389224499655	T1	0
0.1669729199077039	0.9572550484597893	T0	0
0.022712073133860478	0.6558125382591552	T3	0
